Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
"Thistletown-Beaumond Heights, Toronto",43.737221999999996,-79.565278,Drupati's Doubles & Roti Shop,43.73622193506543,-79.56347091954379,Caribbean Restaurant
"Thistletown-Beaumond Heights, Toronto",43.737221999999996,-79.565278,Dairy Queen,43.73623241974099,-79.56530906640637,Ice Cream Shop
"Thistletown-Beaumond Heights, Toronto",43.737221999999996,-79.565278,Rajdhani Sweets & Restaurant,43.738409332720884,-79.56624585320077,Indian Restaurant
"Thistletown-Beaumond Heights, Toronto",43.737221999999996,-79.565278,Madras Dosa Hut,43.7371563782527,-79.56645986088876,Indian Restaurant
"Thistletown-Beaumond Heights, Toronto",43.737221999999996,-79.565278,Pizza Pizza,43.73661915057897,-79.56459962336204,Pizza Place
"Thistletown-Beaumond Heights, Toronto",43.737221999999996,-79.565278,TD Canada Trust,43.736611028583354,-79.56239891519964,Bank
"Thistletown-Beaumond Heights, Toronto",43.737221999999996,-79.565278,RBC Royal Bank,43.73781816269557,-79.56589538469277,Bank
"Thistletown-Beaumond Heights, Toronto",43.737221999999996,-79.565278,Tim Hortons,43.73788121336188,-79.56689089536667,Coffee Shop
"Thistletown-Beaumond Heights, Toronto",43.737221999999996,-79.565278,Brar Pakwan,43.73808211197717,-79.56603733231371,Indian Restaurant
"Thistletown-Beaumond Heights, Toronto",43.737221999999996,-79.565278,Shoppers Drug Mart,43.735588,-79.559843,Pharmacy
"Thistletown-Beaumond Heights, Toronto",43.737221999999996,-79.565278,Roti-Roti Family Restaurant,43.73624095343682,-79.56353138707921,Caribbean Restaurant
"Thistletown-Beaumond Heights, Toronto",43.737221999999996,-79.565278,Karahi Point Etobicoke,43.7379956,-79.5662524,American Restaurant
"Thistletown-Beaumond Heights, Toronto",43.737221999999996,-79.565278,Food Basics,43.73554350420851,-79.55971777440482,Supermarket
